"Hrapx","Hrapy","Lat","Lon","Globvalue"
"326",443.4167,206,31.483,-103.2315,0.1567
"327",406,636.9167,47.3572,-104.6443,0.1567
"328",430.75,642.5,47.417,-103.192,0.1567
"329",467.0833,660.25,48.1383,-100.9717,0.1567
"330",724,425.5,37.5099,-89.6538,0.1575
"331",624.0833,511.5,41.0439,-93.387,0.1575
"332",532.6667,17.75,25.0658,-100.2266,0.1575
"333",424.6667,640.1667,47.3242,-103.5486,0.1575
"334",290.9167,678.1667,48.8918,-111.7765,0.1575
"335",756.0833,548.5833,41.861,-86.3158,0.1583
"336",421.1667,664,47.8664,-103.7547,0.1583
"337",394.9167,642.9167,47.6277,-105.3088,0.1583
"338",381.25,631.1667,47.194,-106.1042,0.1583
"339",366.5,637,47.3112,-106.989,0.1583
"340",415.0833,657.1667,47.826,-104.1224,0.1583
"341",298.4167,672.6667,48.4188,-111.2185,0.1583
"342",228.5,682.1667,48.8502,-115.6007,0.1592
"343",692.6667,422.4167,37.5316,-91.1196,0.1592
"344",540.0833,437.6667,38.2935,-98.1946,0.1592
"345",780.25,576.5833,42.5072,-84.6454,0.1592
"346",419.25,662.9167,48.3408,-103.855,0.1592
"347",469.8333,667.25,48.163,-100.7853,0.16
"348",758.6667,439,37.4769,-87.9855,0.16
"349",559.8333,569.5,44.1554,-96.2456,0.16
"350",780.1667,577.3333,42.5546,-84.6358,0.16
"351",1528.4167,202.1667,18.5169,-66.1098,0.16
"352",355.6667,647.6667,47.6199,-107.6679,0.16
"353",414.0833,670.1667,48.2563,-104.1825,0.16
"354",477.0833,260.4167,33.2096,-101.7154,0.16
"355",558.6667,586,44.5388,-96.1837,0.1608
"356",535.9167,16.9167,25.0313,-100.1124,0.1608
"357",821,595.5,42.6084,-82.2993,0.1608
"358",332.1667,635.4167,47.3669,-109.0346,0.1608
"359",266.25,676.4167,48.7285,-113.257,0.1608
"360",305.75,680.4167,49.0744,-110.8859,0.1608
"361",569.4167,444.5833,38.1406,-96.7769,0.1608
"362",412,634.4167,47.2723,-104.2917,0.1608
"363",505.75,559.3333,43.6855,-99.2067,0.1617
"364",392.8333,630.25,47.155,-105.4249,0.1617
